Aダイヤ 梅田駅 下り時刻表
5,普通,普通,普通
,00,20,40
,河原町,河原町,河原町
,3,3,3
6,準特,普通,準特,普通,準特,普通,普通,準特,普通,準特,普通,準特
,00,02,15,25,29,34,40,43,46,50,53,58
,河原町,河原町,河原町,北千里,河原町,河原町,北千里,河原町,河原町,河原町,北千里,河原町
,2,3,2,3,2,1,3,2,3,2,1,2
7,普通,準特,普通,準特,普通,準特,普通,準急,準特,普通,準特,普通,準急,準特,普通,準特,普通,準急
,01,04,07,14,17,21,24,27,30,33,37,40,42,46,50,54,56,59
,河原町,河原町,北千里,河原町,河原町,河原町,北千里,河原町,河原町,河原町,河原町,北千里,河原町,河原町,河原町,河原町,北千里,河原町
,3,2,1,2,3,2,1,3,2,3,2,1,3,2,3,2,1,3
8,通特,普通,準特,普通,準急,通特,普通,準特,普通,準急,通特,普通,普通,準特,普通,特急,普通,準急
,03,06,10,13,15,20,23,27,30,32,36,39,41,45,47,52,55,57
,河原町,河原町,河原町,北千里,河原町,河原町,北千里,河原町,茨木市,河原町,河原町,北千里,高槻市,河原町,高槻市,河原町,高槻市,河原町
,2,3,2,1,3,2,3,2,1,3,2,1,3,2,3,1,2,3
9,特急,普通,準急,特急,普通,準急,特急,普通,準急,特急,普通,準急,特急,普通,準急,特急,普通,準急
,00,04,08,11,13,16,19,22,26,30,32,36,40,42,46,50,52,56
,河原町,北千里,河原町,河原町,高槻市,河原町,河原町,北千里,河原町,河原町,高槻市,河原町,河原町,北千里,河原町,河原町,高槻市,河原町
,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
10,特急,普通,準急,特急,普通,準急,特急,普通,準急,特急,普通,準急,特急,普通,準急,特急,普通,準急
,00,02,06,10,12,16,20,22,26,30,32,36,40,42,46,50,52,56
,河原町,北千里,河原町,河原町,高槻市,河原町,河原町,北千里,河原町,河原町,高槻市,河原町,河原町,北千里,河原町,河原町,高槻市,河原町
,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
11,特急,普通,準急,特急,普通,準急,特急,普通,準急,特急,普通,準急,特急,普通,準急,特急,普通,準急
,00,02,06,10,12,16,20,22,26,30,32,36,40,42,46,50,52,56
,河原町,北千里,河原町,河原町,高槻市,河原町,河原町,北千里,河原町,河原町,高槻市,河原町,河原町,北千里,河原町,河原町,高槻市,河原町
,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
12,特急,普通,準急,特急,普通,準急,特急,普通,準急,特急,普通,準急,特急,普通,準急,特急,普通,準急
,00,02,06,10,12,16,20,22,26,30,32,36,40,42,46,50,52,56
,河原町,北千里,河原町,河原町,高槻市,河原町,河原町,北千里,河原町,河原町,高槻市,河原町,河原町,北千里,河原町,河原町,高槻市,河原町
,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
13,特急,普通,準急,特急,普通,準急,特急,普通,準急,特急,普通,準急,特急,普通,準急,特急,普通,準急
,00,02,06,10,12,16,20,22,26,30,32,36,40,42,46,50,52,56
,河原町,北千里,河原町,河原町,高槻市,河原町,河原町,北千里,河原町,河原町,高槻市,河原町,河原町,北千里,河原町,河原町,高槻市,河原町
,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
14,特急,普通,準急,特急,普通,準急,特急,普通,準急,特急,普通,準急,特急,普通,準急,特急,普通,準急
,00,02,06,10,12,16,20,22,26,30,32,36,40,42,46,50,52,56
,河原町,北千里,河原町,河原町,高槻市,河原町,河原町,北千里,河原町,河原町,高槻市,河原町,河原町,北千里,河原町,河原町,高槻市,河原町
,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
15,特急,普通,準急,特急,普通,準急,特急,普通,準急,特急,普通,準急,特急,普通,準急,特急,普通,準急
,00,02,06,10,12,16,20,22,26,30,32,36,40,42,46,50,52,56
,河原町,北千里,河原町,河原町,高槻市,河原町,河原町,北千里,河原町,河原町,高槻市,河原町,河原町,北千里,河原町,河原町,高槻市,河原町
,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
16,特急,普通,準急,特急,普通,準急,特急,普通,準急,特急,普通,準急,特急,普通,普通,準特,準急,普通
,00,02,06,10,12,16,20,22,25,30,33,36,40,42,45,50,53,55
,河原町,北千里,河原町,河原町,高槻市,河原町,河原町,北千里,河原町,河原町,河原町,河原町,河原町,北千里,高槻市,河原町,河原町,高槻市
,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,2,3,1
17,通特,準急,普通,準特,準急,普通,通特,準急,普通,準特,準急,普通,通特,準急,普通,準特,普通,普通
,00,03,05,10,13,15,20,23,25,30,33,36,40,43,46,50,53,56
,河原町,河原町,北千里,河原町,河原町,高槻市,河原町,河原町,北千里,河原町,河原町,高槻市,河原町,河原町,河原町,河原町,北千里,高槻市
,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1
18,通特,急行,普通,準特,普通,普通,通特,急行,普通,準特,普通,普通,通特,急行,普通,準特,普通,普通
,00,03,06,10,13,16,20,23,26,30,33,36,40,43,46,50,53,56
,河原町,河原町,河原町,河原町,北千里,高槻市,河原町,河原町,河原町,河原町,北千里,高槻市,河原町,河原町,河原町,河原町,北千里,高槻市
,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1
19,通特,急行,普通,準特,普通,普通,通特,急行,普通,準特,普通,普通,通特,急行,普通,準特,普通,普通
,00,03,06,10,13,16,20,23,26,30,33,36,40,43,46,50,53,56
,河原町,河原町,河原町,河原町,北千里,高槻市,河原町,河原町,河原町,河原町,北千里,高槻市,河原町,河原町,河原町,河原町,北千里,高槻市
,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1
20,通特,急行,普通,準特,普通,準急,通特,普通,普通,準特,普通,準急,通特,普通,普通,準特,普通,準急
,00,03,06,10,13,16,20,22,26,30,33,36,40,42,46,50,53,56
,河原町,河原町,北千里,河原町,河原町,河原町,河原町,茨木市,北千里,河原町,河原町,河原町,河原町,高槻市,北千里,河原町,河原町,河原町
,2,3,1,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3
21,通特,普通,普通,準特,普通,準急,通特,普通,準特,普通,準急,通特,普通,準特,普通,準急
,00,02,06,10,13,16,20,24,30,32,36,40,46,50,52,56
,河原町,高槻市,北千里,河原町,河原町,河原町,河原町,北千里,河原町,河原町,河原町,河原町,北千里,河原町,河原町,河原町
,2,1,3,2,1,3,2,3,2,1,3,2,3,2,1,3
22,通特,普通,普通,準特,普通,準特,普通,準特,普通,準特,普通,準特,普通
,00,02,06,10,14,20,24,30,33,40,43,50,53
,河原町,北千里,河原町,河原町,河原町,河原町,河原町,河原町,桂,河原町,河原町,河原町,高槻市
,2,3,1,2,3,2,3,2,3,2,3,2,3
23,準特,普通,準特,普通,準特,普通,準特,普通
,00,05,15,20,30,35,45,50
,河原町,河原町,河原町,桂,河原町,河原町,河原町,高槻市
,2,3,2,3,2,3,2,3
0,準急,普通,普通
,00,10,25
,桂,高槻市,正雀
,3,3,3
