Aダイヤ 名古屋駅 下り時刻表,,,,,,,,,,,,,,,,,,
5,普通,急行,普通,急行,,,,,,,,,,,,,,
,18,30,41,50,,,,,,,,,,,,,,
,中川,鳥羽,津新町,松阪,,,,,,,,,,,,,,
,1,3,1,3,,,,,,,,,,,,,,
6,普通,急行,普通,特急,急行,普通,特急,急行,,,,,,,,,,
,1,10,21,30,31,41,50,51,,,,,,,,,,
,津新町,鳥羽,津新町,大阪上本町,松阪,津新町,賢島,中川,,,,,,,,,,
,1,3,1,4,3,1,4,3,,,,,,,,,,
7,特急,普通,特急,急行,準急,普通,特急,急行,準急,普通,急行,準急,特急,普通,,,,
,0,1,10,11,13,20,30,31,33,34,41,46,50,51,,,,
,大阪上本町,富吉,賢島,松阪,四日市,富吉,大阪上本町,五十鈴川,四日市,富吉,中川,四日市,鳥羽,富吉,,,,
,5,1,4,3,2,1,5,3,2,1,3,2,5,1,,,,
8,特急,急行,準急,普通,特急,準急,普通,急行,準急,普通,特急,準急,普通,急行,準急,普通,特急,準急
,0,1,3,5,10,16,17,21,23,26,30,34,36,41,44,46,50,56
,大阪上本町,松阪,四日市,富吉,賢島,四日市,富吉,五十鈴川,富吉,富吉,大阪上本町,四日市,富吉,松阪,四日市,富吉,鳥羽,四日市
,5,3,2,1,5,2,1,3,4,1,5,2,1,3,2,1,5,2
9,特急,急行,普通,特急,準急,普通,急行,準急,特急,普通,急行,準急,特急,普通,,,,
,0,1,3,10,11,13,21,26,30,31,41,46,50,51,,,,
,大阪上本町,松阪,塩浜,賢島,富吉,富吉,五十鈴川,四日市,大阪上本町,富吉,松阪,四日市,鳥羽,津新町,,,,
,5,3,1,5,3,1,3,2,5,1,3,2,5,1,,,,
10,特急,急行,特急,普通,急行,準急,特急,普通,急行,準急,特急,普通,,,,,,
,0,1,10,11,21,26,30,31,41,46,50,51,,,,,,
,大阪上本町,松阪,賢島,富吉,五十鈴川,四日市,大阪上本町,富吉,松阪,四日市,鳥羽,津新町,,,,,,
